id,item_id,option_group,option_name,price_delta,is_default,display_order
opt_003_006_02,item_003_006,Mức cay,vừa,0,1,2
opt_003_006_03,item_003_006,Mức cay,cay nhiều,5000,0,3
opt_004_001_01,item_004_001,Khẩu phần,thường,0,1,1
opt_004_001_02,item_004_001,Khẩu phần,thêm topping,15000,0,2
opt_004_002_01,item_004_002,Khẩu phần,thường,0,1,1
opt_004_002_02,item_004_002,Khẩu phần,thêm topping,15000,0,2
opt_004_003_01,item_004_003,Khẩu phần,thường,0,1,1
opt_004_003_02,item_004_003,Khẩu phần,thêm topping,15000,0,2
opt_004_004_01,item_004_004,Khẩu phần,thường,0,1,1
opt_004_004_02,item_004_004,Khẩu phần,thêm topping,15000,0,2
opt_004_005_01,item_004_005,Đường,0%,0,0,1
opt_004_005_02,item_004_005,Đường,50%,0,1,2
opt_004_005_03,item_004_005,Đường,100%,0,0,3
opt_004_005_04,item_004_005,Đá,ít đá,0,0,4
opt_004_005_05,item_004_005,Đá,bình thường,0,1,5
opt_004_006_01,item_004_006,Đường,0%,0,0,1
opt_004_006_02,item_004_006,Đường,50%,0,1,2
opt_004_006_03,item_004_006,Đường,100%,0,0,3
opt_004_006_04,item_004_006,Đá,ít đá,0,0,4
opt_004_006_05,item_004_006,Đá,bình thường,0,1,5
opt_005_001_01,item_005_001,Mức cay,ít cay,0,0,1
opt_005_001_02,item_005_001,Mức cay,vừa,0,1,2
opt_005_001_03,item_005_001,Mức cay,cay nhiều,5000,0,3
opt_005_002_01,item_005_002,Mức cay,ít cay,0,0,1
opt_005_002_02,item_005_002,Mức cay,vừa,0,1,2
opt_005_002_03,item_005_002,Mức cay,cay nhiều,5000,0,3
opt_005_003_01,item_005_003,Mức cay,ít cay,0,0,1
opt_005_003_02,item_005_003,Mức cay,vừa,0,1,2
opt_005_003_03,item_005_003,Mức cay,cay nhiều,5000,0,3
opt_005_004_01,item_005_004,Mức cay,ít cay,0,0,1
opt_005_004_02,item_005_004,Mức cay,vừa,0,1,2
opt_005_004_03,item_005_004,Mức cay,cay nhiều,5000,0,3
opt_005_005_01,item_005_005,Mức cay,ít cay,0,0,1
opt_005_005_02,item_005_005,Mức cay,vừa,0,1,2
opt_005_005_03,item_005_005,Mức cay,cay nhiều,5000,0,3
opt_005_006_01,item_005_006,Đường,0%,0,0,1
opt_005_006_02,item_005_006,Đường,50%,0,1,2
opt_005_006_03,item_005_006,Đường,100%,0,0,3
opt_005_006_04,item_005_006,Đá,ít đá,0,0,4
opt_005_006_05,item_005_006,Đá,bình thường,0,1,5
opt_006_001_01,item_006_001,Mức cay,ít cay,0,0,1
opt_006_001_02,item_006_001,Mức cay,vừa,0,1,2
opt_006_001_03,item_006_001,Mức cay,cay nhiều,5000,0,3
opt_006_002_01,item_006_002,Mức cay,ít cay,0,0,1
opt_006_002_02,item_006_002,Mức cay,vừa,0,1,2
opt_006_002_03,item_006_002,Mức cay,cay nhiều,5000,0,3
opt_006_003_01,item_006_003,Mức cay,ít cay,0,0,1
opt_006_003_02,item_006_003,Mức cay,vừa,0,1,2
opt_006_003_03,item_006_003,Mức cay,cay nhiều,5000,0,3
opt_006_004_01,item_006_004,Khẩu phần,thường,0,1,1
opt_006_004_02,item_006_004,Khẩu phần,thêm topping,15000,0,2
opt_006_005_01,item_006_005,Đường,0%,0,0,1
opt_006_005_02,item_006_005,Đường,50%,0,1,2
opt_006_005_03,item_006_005,Đường,100%,0,0,3
opt_006_005_04,item_006_005,Đá,ít đá,0,0,4
opt_006_005_05,item_006_005,Đá,bình thường,0,1,5
opt_006_006_01,item_006_006,Đường,0%,0,0,1
opt_006_006_02,item_006_006,Đường,50%,0,1,2
opt_006_006_03,item_006_006,Đường,100%,0,0,3
opt_006_006_04,item_006_006,Đá,ít đá,0,0,4
opt_006_006_05,item_006_006,Đá,bình thường,0,1,5
opt_007_001_01,item_007_001,Khẩu phần,thường,0,1,1
opt_007_001_02,item_007_001,Khẩu phần,thêm topping,15000,0,2
opt_007_002_01,item_007_002,Khẩu phần,thường,0,1,1
opt_007_002_02,item_007_002,Khẩu phần,thêm topping,15000,0,2
opt_007_003_01,item_007_003,Khẩu phần,thường,0,1,1
opt_007_003_02,item_007_003,Khẩu phần,thêm topping,15000,0,2
opt_007_004_01,item_007_004,Khẩu phần,thường,0,1,1
opt_007_004_02,item_007_004,Khẩu phần,thêm topping,15000,0,2
opt_007_005_01,item_007_005,Khẩu phần,thường,0,1,1
opt_007_005_02,item_007_005,Khẩu phần,thêm topping,15000,0,2
opt_007_006_01,item_007_006,Đường,0%,0,0,1
opt_007_006_02,item_007_006,Đường,50%,0,1,2
opt_007_006_03,item_007_006,Đường,100%,0,0,3
opt_007_006_04,item_007_006,Đá,ít đá,0,0,4
opt_007_006_05,item_007_006,Đá,bình thường,0,1,5
opt_008_001_01,item_008_001,Khẩu phần,thường,0,1,1
opt_008_001_02,item_008_001,Khẩu phần,thêm topping,15000,0,2
opt_008_002_01,item_008_002,Khẩu phần,thường,0,1,1
opt_008_002_02,item_008_002,Khẩu phần,thêm topping,15000,0,2
opt_008_003_01,item_008_003,Khẩu phần,thường,0,1,1
opt_008_003_02,item_008_003,Khẩu phần,thêm topping,15000,0,2
opt_008_004_01,item_008_004,Khẩu phần,thường,0,1,1
opt_008_004_02,item_008_004,Khẩu phần,thêm topping,15000,0,2
opt_008_005_01,item_008_005,Khẩu phần,thường,0,1,1
opt_008_005_02,item_008_005,Khẩu phần,thêm topping,15000,0,2
opt_008_006_01,item_008_006,Đường,0%,0,0,1
opt_008_006_02,item_008_006,Đường,50%,0,1,2
opt_008_006_03,item_008_006,Đường,100%,0,0,3
opt_008_006_04,item_008_006,Đá,ít đá,0,0,4
opt_008_006_05,item_008_006,Đá,bình thường,0,1,5
opt_009_001_01,item_009_001,Mức cay,ít cay,0,0,1
opt_009_001_02,item_009_001,Mức cay,vừa,0,1,2
opt_009_001_03,item_009_001,Mức cay,cay nhiều,5000,0,3
opt_009_002_01,item_009_002,Mức cay,ít cay,0,0,1
opt_009_002_02,item_009_002,Mức cay,vừa,0,1,2
opt_009_002_03,item_009_002,Mức cay,cay nhiều,5000,0,3
opt_009_003_01,item_009_003,Size,vừa,0,1,1
opt_009_003_02,item_009_003,Size,lớn,25000,0,2
opt_009_004_01,item_009_004,Khẩu phần,thường,0,1,1
opt_009_004_02,item_009_004,Khẩu phần,thêm topping,15000,0,2
opt_009_005_01,item_009_005,Khẩu phần,thường,0,1,1
opt_009_005_02,item_009_005,Khẩu phần,thêm topping,15000,0,2
opt_009_006_01,item_009_006,Mức cay,ít cay,0,0,1
opt_009_006_02,item_009_006,Mức cay,vừa,0,1,2
opt_009_006_03,item_009_006,Mức cay,cay nhiều,5000,0,3
opt_010_001_01,item_010_001,Khẩu phần,thường,0,1,1
opt_010_001_02,item_010_001,Khẩu phần,thêm topping,15000,0,2
opt_010_002_01,item_010_002,Khẩu phần,thường,0,1,1
opt_010_002_02,item_010_002,Khẩu phần,thêm topping,15000,0,2
opt_010_003_01,item_010_003,Khẩu phần,thường,0,1,1
opt_010_003_02,item_010_003,Khẩu phần,thêm topping,15000,0,2
opt_010_004_01,item_010_004,Khẩu phần,thường,0,1,1
opt_010_004_02,item_010_004,Khẩu phần,thêm topping,15000,0,2
opt_010_005_01,item_010_005,Khẩu phần,thường,0,1,1
opt_010_005_02,item_010_005,Khẩu phần,thêm topping,15000,0,2
opt_010_006_01,item_010_006,Đường,0%,0,0,1
opt_010_006_02,item_010_006,Đường,50%,0,1,2
opt_010_006_03,item_010_006,Đường,100%,0,0,3
opt_010_006_04,item_010_006,Đá,ít đá,0,0,4
opt_010_006_05,item_010_006,Đá,bình thường,0,1,5
opt_011_001_01,item_011_001,Mức cay,ít cay,0,0,1
opt_011_001_02,item_011_001,Mức cay,vừa,0,1,2
opt_011_001_03,item_011_001,Mức cay,cay nhiều,5000,0,3
opt_011_002_01,item_011_002,Mức cay,ít cay,0,0,1
opt_011_002_02,item_011_002,Mức cay,vừa,0,1,2
opt_011_002_03,item_011_002,Mức cay,cay nhiều,5000,0,3
opt_011_003_01,item_011_003,Mức cay,ít cay,0,0,1
opt_011_003_02,item_011_003,Mức cay,vừa,0,1,2
opt_011_003_03,item_011_003,Mức cay,cay nhiều,5000,0,3
opt_011_004_01,item_011_004,Khẩu phần,thường,0,1,1
opt_011_004_02,item_011_004,Khẩu phần,thêm topping,15000,0,2
opt_011_005_01,item_011_005,Khẩu phần,thường,0,1,1
opt_011_005_02,item_011_005,Khẩu phần,thêm topping,15000,0,2
opt_011_006_01,item_011_006,Đường,0%,0,0,1
opt_011_006_02,item_011_006,Đường,50%,0,1,2
opt_011_006_03,item_011_006,Đường,100%,0,0,3
opt_011_006_04,item_011_006,Đá,ít đá,0,0,4
opt_011_006_05,item_011_006,Đá,bình thường,0,1,5
opt_012_001_01,item_012_001,Khẩu phần,thường,0,1,1
opt_012_001_02,item_012_001,Khẩu phần,thêm topping,15000,0,2
opt_012_002_01,item_012_002,Mức cay,ít cay,0,0,1
opt_012_002_02,item_012_002,Mức cay,vừa,0,1,2
opt_012_002_03,item_012_002,Mức cay,cay nhiều,5000,0,3
opt_012_003_01,item_012_003,Khẩu phần,thường,0,1,1
opt_012_003_02,item_012_003,Khẩu phần,thêm topping,15000,0,2
opt_012_004_01,item_012_004,Mức cay,ít cay,0,0,1
opt_012_004_02,item_012_004,Mức cay,vừa,0,1,2
opt_012_004_03,item_012_004,Mức cay,cay nhiều,5000,0,3
opt_012_005_01,item_012_005,Khẩu phần,thường,0,1,1
opt_012_005_02,item_012_005,Khẩu phần,thêm topping,15000,0,2
opt_012_006_01,item_012_006,Đường,0%,0,0,1
opt_012_006_02,item_012_006,Đường,50%,0,1,2
opt_012_006_03,item_012_006,Đường,100%,0,0,3
opt_012_006_04,item_012_006,Đá,ít đá,0,0,4
opt_012_006_05,item_012_006,Đá,bình thường,0,1,5
opt_013_001_01,item_013_001,Khẩu phần,thường,0,1,1
opt_013_001_02,item_013_001,Khẩu phần,thêm topping,15000,0,2
opt_013_002_01,item_013_002,Khẩu phần,thường,0,1,1
opt_013_002_02,item_013_002,Khẩu phần,thêm topping,15000,0,2
opt_013_003_01,item_013_003,Khẩu phần,thường,0,1,1
opt_013_003_02,item_013_003,Khẩu phần,thêm topping,15000,0,2
opt_013_004_01,item_013_004,Khẩu phần,thường,0,1,1
opt_013_004_02,item_013_004,Khẩu phần,thêm topping,15000,0,2
opt_013_005_01,item_013_005,Mức cay,ít cay,0,0,1
opt_013_005_02,item_013_005,Mức cay,vừa,0,1,2
opt_013_005_03,item_013_005,Mức cay,cay nhiều,5000,0,3
opt_013_006_01,item_013_006,Đường,0%,0,0,1
opt_013_006_02,item_013_006,Đường,50%,0,1,2
opt_013_006_03,item_013_006,Đường,100%,0,0,3
opt_013_006_04,item_013_006,Đá,ít đá,0,0,4
opt_013_006_05,item_013_006,Đá,bình thường,0,1,5
opt_014_001_01,item_014_001,Size,vừa,0,1,1
opt_014_001_02,item_014_001,Size,lớn,25000,0,2
opt_014_002_01,item_014_002,Mức cay,ít cay,0,0,1
opt_014_002_02,item_014_002,Mức cay,vừa,0,1,2
opt_014_002_03,item_014_002,Mức cay,cay nhiều,5000,0,3
opt_014_003_01,item_014_003,Size,vừa,0,1,1
opt_014_003_02,item_014_003,Size,lớn,25000,0,2
opt_014_004_01,item_014_004,Khẩu phần,thường,0,1,1
opt_014_004_02,item_014_004,Khẩu phần,thêm topping,15000,0,2
opt_014_005_01,item_014_005,Size,vừa,0,1,1
opt_014_005_02,item_014_005,Size,lớn,25000,0,2
opt_014_006_01,item_014_006,Đường,0%,0,0,1
opt_014_006_02,item_014_006,Đường,50%,0,1,2
opt_014_006_03,item_014_006,Đường,100%,0,0,3
opt_014_006_04,item_014_006,Đá,ít đá,0,0,4
opt_014_006_05,item_014_006,Đá,bình thường,0,1,5
opt_015_001_01,item_015_001,Khẩu phần,thường,0,1,1
opt_015_001_02,item_015_001,Khẩu phần,thêm topping,15000,0,2
opt_015_002_01,item_015_002,Khẩu phần,thường,0,1,1
opt_015_002_02,item_015_002,Khẩu phần,thêm topping,15000,0,2
opt_015_003_01,item_015_003,Khẩu phần,thường,0,1,1
opt_015_003_02,item_015_003,Khẩu phần,thêm topping,15000,0,2
opt_015_004_01,item_015_004,Khẩu phần,thường,0,1,1
opt_015_004_02,item_015_004,Khẩu phần,thêm topping,15000,0,2
opt_015_005_01,item_015_005,Khẩu phần,thường,0,1,1
opt_015_005_02,item_015_005,Khẩu phần,thêm topping,15000,0,2
opt_015_006_01,item_015_006,Đường,0%,0,0,1
opt_015_006_02,item_015_006,Đường,50%,0,1,2
opt_015_006_03,item_015_006,Đường,100%,0,0,3
opt_015_006_04,item_015_006,Đá,ít đá,0,0,4
opt_015_006_05,item_015_006,Đá,bình thường,0,1,5
opt_016_001_01,item_016_001,Khẩu phần,thường,0,1,1
opt_016_001_02,item_016_001,Khẩu phần,thêm topping,15000,0,2
opt_016_002_01,item_016_002,Khẩu phần,thường,0,1,1
opt_016_002_02,item_016_002,Khẩu phần,thêm topping,15000,0,2
opt_016_003_01,item_016_003,Khẩu phần,thường,0,1,1
opt_016_003_02,item_016_003,Khẩu phần,thêm topping,15000,0,2
opt_016_004_01,item_016_004,Khẩu phần,thường,0,1,1
opt_016_004_02,item_016_004,Khẩu phần,thêm topping,15000,0,2
opt_016_005_01,item_016_005,Khẩu phần,thường,0,1,1
opt_016_005_02,item_016_005,Khẩu phần,thêm topping,15000,0,2
opt_016_006_01,item_016_006,Đường,0%,0,0,1
opt_016_006_02,item_016_006,Đường,50%,0,1,2
opt_016_006_03,item_016_006,Đường,100%,0,0,3
opt_016_006_04,item_016_006,Đá,ít đá,0,0,4
opt_016_006_05,item_016_006,Đá,bình thường,0,1,5
opt_017_001_01,item_017_001,Đường,0%,0,0,1
opt_017_001_02,item_017_001,Đường,50%,0,1,2
opt_017_001_03,item_017_001,Đường,100%,0,0,3
opt_017_001_04,item_017_001,Đá,ít đá,0,0,4
opt_017_001_05,item_017_001,Đá,bình thường,0,1,5
opt_017_002_01,item_017_002,Đường,0%,0,0,1
opt_017_002_02,item_017_002,Đường,50%,0,1,2
opt_017_002_03,item_017_002,Đường,100%,0,0,3
opt_017_002_04,item_017_002,Đá,ít đá,0,0,4
opt_017_002_05,item_017_002,Đá,bình thường,0,1,5
opt_017_003_01,item_017_003,Đường,0%,0,0,1
opt_017_003_02,item_017_003,Đường,50%,0,1,2
opt_017_003_03,item_017_003,Đường,100%,0,0,3
opt_017_003_04,item_017_003,Đá,ít đá,0,0,4
opt_017_003_05,item_017_003,Đá,bình thường,0,1,5
opt_017_004_01,item_017_004,Đường,0%,0,0,1
opt_017_004_02,item_017_004,Đường,50%,0,1,2
opt_017_004_03,item_017_004,Đường,100%,0,0,3
opt_017_004_04,item_017_004,Đá,ít đá,0,0,4
opt_017_004_05,item_017_004,Đá,bình thường,0,1,5
opt_017_005_01,item_017_005,Khẩu phần,thường,0,1,1
opt_017_005_02,item_017_005,Khẩu phần,thêm topping,15000,0,2
opt_017_006_01,item_017_006,Đường,0%,0,0,1
opt_017_006_02,item_017_006,Đường,50%,0,1,2
opt_017_006_03,item_017_006,Đường,100%,0,0,3
opt_017_006_04,item_017_006,Đá,ít đá,0,0,4
opt_017_006_05,item_017_006,Đá,bình thường,0,1,5
opt_018_001_01,item_018_001,Khẩu phần,thường,0,1,1
opt_018_001_02,item_018_001,Khẩu phần,thêm topping,15000,0,2
opt_018_002_01,item_018_002,Khẩu phần,thường,0,1,1
opt_018_002_02,item_018_002,Khẩu phần,thêm topping,15000,0,2
opt_018_003_01,item_018_003,Khẩu phần,thường,0,1,1
opt_018_003_02,item_018_003,Khẩu phần,thêm topping,15000,0,2
opt_018_004_01,item_018_004,Khẩu phần,thường,0,1,1
opt_018_004_02,item_018_004,Khẩu phần,thêm topping,15000,0,2
opt_018_005_01,item_018_005,Khẩu phần,thường,0,1,1
opt_018_005_02,item_018_005,Khẩu phần,thêm topping,15000,0,2
opt_018_006_01,item_018_006,Đường,0%,0,0,1
opt_018_006_02,item_018_006,Đường,50%,0,1,2
opt_018_006_03,item_018_006,Đường,100%,0,0,3
opt_018_006_04,item_018_006,Đá,ít đá,0,0,4
opt_018_006_05,item_018_006,Đá,bình thường,0,1,5
opt_019_001_01,item_019_001,Mức cay,ít cay,0,0,1
opt_019_001_02,item_019_001,Mức cay,vừa,0,1,2
opt_019_001_03,item_019_001,Mức cay,cay nhiều,5000,0,3
opt_019_002_01,item_019_002,Khẩu phần,thường,0,1,1
opt_019_002_02,item_019_002,Khẩu phần,thêm topping,15000,0,2
opt_019_003_01,item_019_003,Mức cay,ít cay,0,0,1
opt_019_003_02,item_019_003,Mức cay,vừa,0,1,2
opt_019_003_03,item_019_003,Mức cay,cay nhiều,5000,0,3
opt_019_004_01,item_019_004,Khẩu phần,thường,0,1,1
opt_019_004_02,item_019_004,Khẩu phần,thêm topping,15000,0,2
opt_019_005_01,item_019_005,Mức cay,ít cay,0,0,1
opt_019_005_02,item_019_005,Mức cay,vừa,0,1,2
opt_019_005_03,item_019_005,Mức cay,cay nhiều,5000,0,3
opt_019_006_01,item_019_006,Đường,0%,0,0,1
opt_019_006_02,item_019_006,Đường,50%,0,1,2
opt_019_006_03,item_019_006,Đường,100%,0,0,3
opt_019_006_04,item_019_006,Đá,ít đá,0,0,4
opt_019_006_05,item_019_006,Đá,bình thường,0,1,5
opt_020_001_01,item_020_001,Mức cay,ít cay,0,0,1
opt_020_001_02,item_020_001,Mức cay,vừa,0,1,2
opt_020_001_03,item_020_001,Mức cay,cay nhiều,5000,0,3
opt_020_002_01,item_020_002,Khẩu phần,thường,0,1,1
opt_020_002_02,item_020_002,Khẩu phần,thêm topping,15000,0,2
opt_020_003_01,item_020_003,Mức cay,ít cay,0,0,1
opt_020_003_02,item_020_003,Mức cay,vừa,0,1,2
opt_020_003_03,item_020_003,Mức cay,cay nhiều,5000,0,3
opt_020_004_01,item_020_004,Khẩu phần,thường,0,1,1
opt_020_004_02,item_020_004,Khẩu phần,thêm topping,15000,0,2
opt_020_005_01,item_020_005,Khẩu phần,thường,0,1,1
opt_020_005_02,item_020_005,Khẩu phần,thêm topping,15000,0,2
opt_020_006_01,item_020_006,Đường,0%,0,0,1
opt_020_006_02,item_020_006,Đường,50%,0,1,2
opt_020_006_03,item_020_006,Đường,100%,0,0,3
opt_020_006_04,item_020_006,Đá,ít đá,0,0,4
opt_020_006_05,item_020_006,Đá,bình thường,0,1,5
opt_021_001_01,item_021_001,Mức cay,ít cay,0,0,1
opt_021_001_02,item_021_001,Mức cay,vừa,0,1,2
opt_021_001_03,item_021_001,Mức cay,cay nhiều,5000,0,3
opt_021_002_01,item_021_002,Mức cay,ít cay,0,0,1
opt_021_002_02,item_021_002,Mức cay,vừa,0,1,2
opt_021_002_03,item_021_002,Mức cay,cay nhiều,5000,0,3
opt_021_003_01,item_021_003,Mức cay,ít cay,0,0,1
opt_021_003_02,item_021_003,Mức cay,vừa,0,1,2
opt_021_003_03,item_021_003,Mức cay,cay nhiều,5000,0,3
opt_021_004_01,item_021_004,Mức cay,ít cay,0,0,1
opt_021_004_02,item_021_004,Mức cay,vừa,0,1,2
opt_021_004_03,item_021_004,Mức cay,cay nhiều,5000,0,3
opt_021_005_01,item_021_005,Khẩu phần,thường,0,1,1
opt_021_005_02,item_021_005,Khẩu phần,thêm topping,15000,0,2
opt_021_006_01,item_021_006,Đường,0%,0,0,1
opt_021_006_02,item_021_006,Đường,50%,0,1,2
opt_021_006_03,item_021_006,Đường,100%,0,0,3
opt_021_006_04,item_021_006,Đá,ít đá,0,0,4
opt_021_006_05,item_021_006,Đá,bình thường,0,1,5
opt_022_001_01,item_022_001,Mức cay,ít cay,0,0,1
opt_022_001_02,item_022_001,Mức cay,vừa,0,1,2
opt_022_001_03,item_022_001,Mức cay,cay nhiều,5000,0,3
opt_022_002_01,item_022_002,Mức cay,ít cay,0,0,1
opt_022_002_02,item_022_002,Mức cay,vừa,0,1,2
opt_022_002_03,item_022_002,Mức cay,cay nhiều,5000,0,3
opt_022_003_01,item_022_003,Mức cay,ít cay,0,0,1
opt_022_003_02,item_022_003,Mức cay,vừa,0,1,2
opt_022_003_03,item_022_003,Mức cay,cay nhiều,5000,0,3
opt_022_004_01,item_022_004,Mức cay,ít cay,0,0,1
opt_022_004_02,item_022_004,Mức cay,vừa,0,1,2
opt_022_004_03,item_022_004,Mức cay,cay nhiều,5000,0,3
opt_022_005_01,item_022_005,Khẩu phần,thường,0,1,1
opt_022_005_02,item_022_005,Khẩu phần,thêm topping,15000,0,2
opt_022_006_01,item_022_006,Đường,0%,0,0,1
opt_022_006_02,item_022_006,Đường,50%,0,1,2
opt_022_006_03,item_022_006,Đường,100%,0,0,3
opt_022_006_04,item_022_006,Đá,ít đá,0,0,4
opt_022_006_05,item_022_006,Đá,bình thường,0,1,5
opt_023_001_01,item_023_001,Khẩu phần,thường,0,1,1
opt_023_001_02,item_023_001,Khẩu phần,thêm topping,15000,0,2
opt_023_002_01,item_023_002,Khẩu phần,thường,0,1,1
opt_023_002_02,item_023_002,Khẩu phần,thêm topping,15000,0,2
opt_023_003_01,item_023_003,Khẩu phần,thường,0,1,1
opt_023_003_02,item_023_003,Khẩu phần,thêm topping,15000,0,2
opt_023_004_01,item_023_004,Khẩu phần,thường,0,1,1
opt_023_004_02,item_023_004,Khẩu phần,thêm topping,15000,0,2
opt_023_005_01,item_023_005,Khẩu phần,thường,0,1,1
opt_023_005_02,item_023_005,Khẩu phần,thêm topping,15000,0,2
opt_023_006_01,item_023_006,Đường,0%,0,0,1
opt_023_006_02,item_023_006,Đường,50%,0,1,2
opt_023_006_03,item_023_006,Đường,100%,0,0,3
opt_023_006_04,item_023_006,Đá,ít đá,0,0,4
opt_023_006_05,item_023_006,Đá,bình thường,0,1,5
opt_024_001_01,item_024_001,Mức cay,ít cay,0,0,1
opt_024_001_02,item_024_001,Mức cay,vừa,0,1,2
opt_024_001_03,item_024_001,Mức cay,cay nhiều,5000,0,3
opt_024_002_01,item_024_002,Mức cay,ít cay,0,0,1
opt_024_002_02,item_024_002,Mức cay,vừa,0,1,2
opt_024_002_03,item_024_002,Mức cay,cay nhiều,5000,0,3
opt_024_003_01,item_024_003,Mức cay,ít cay,0,0,1
opt_024_003_02,item_024_003,Mức cay,vừa,0,1,2
opt_024_003_03,item_024_003,Mức cay,cay nhiều,5000,0,3
opt_024_004_01,item_024_004,Khẩu phần,thường,0,1,1
opt_024_004_02,item_024_004,Khẩu phần,thêm topping,15000,0,2
opt_024_005_01,item_024_005,Khẩu phần,thường,0,1,1
opt_024_005_02,item_024_005,Khẩu phần,thêm topping,15000,0,2
opt_024_006_01,item_024_006,Đường,0%,0,0,1
opt_024_006_02,item_024_006,Đường,50%,0,1,2
opt_024_006_03,item_024_006,Đường,100%,0,0,3
opt_024_006_04,item_024_006,Đá,ít đá,0,0,4
opt_024_006_05,item_024_006,Đá,bình thường,0,1,5
opt_025_001_01,item_025_001,Mức cay,ít cay,0,0,1
opt_025_001_02,item_025_001,Mức cay,vừa,0,1,2
opt_025_001_03,item_025_001,Mức cay,cay nhiều,5000,0,3
opt_025_002_01,item_025_002,Mức cay,ít cay,0,0,1
opt_025_002_02,item_025_002,Mức cay,vừa,0,1,2
opt_025_002_03,item_025_002,Mức cay,cay nhiều,5000,0,3
opt_025_003_01,item_025_003,Khẩu phần,thường,0,1,1
opt_025_003_02,item_025_003,Khẩu phần,thêm topping,15000,0,2
opt_025_004_01,item_025_004,Mức cay,ít cay,0,0,1
opt_025_004_02,item_025_004,Mức cay,vừa,0,1,2
opt_025_004_03,item_025_004,Mức cay,cay nhiều,5000,0,3
opt_025_005_01,item_025_005,Khẩu phần,thường,0,1,1
opt_025_005_02,item_025_005,Khẩu phần,thêm topping,15000,0,2
opt_025_006_01,item_025_006,Đường,0%,0,0,1
opt_025_006_02,item_025_006,Đường,50%,0,1,2
opt_025_006_03,item_025_006,Đường,100%,0,0,3
opt_025_006_04,item_025_006,Đá,ít đá,0,0,4
opt_025_006_05,item_025_006,Đá,bình thường,0,1,5
opt_026_001_01,item_026_001,Mức cay,ít cay,0,0,1
opt_026_001_02,item_026_001,Mức cay,vừa,0,1,2
opt_026_001_03,item_026_001,Mức cay,cay nhiều,5000,0,3
opt_026_002_01,item_026_002,Khẩu phần,thường,0,1,1
opt_026_002_02,item_026_002,Khẩu phần,thêm topping,15000,0,2
opt_026_003_01,item_026_003,Khẩu phần,thường,0,1,1
opt_026_003_02,item_026_003,Khẩu phần,thêm topping,15000,0,2
