item_id,tag_id
item_012_004,tag_097
item_012_004,tag_018
item_012_005,tag_086
item_012_005,tag_018
item_012_005,tag_096
item_012_006,tag_099
item_012_006,tag_074
item_013_001,tag_040
item_013_001,tag_005
item_013_001,tag_074
item_013_002,tag_050
item_013_002,tag_097
item_013_002,tag_096
item_013_003,tag_061
item_013_003,tag_091
item_013_004,tag_057
item_013_004,tag_062
item_013_004,tag_096
item_013_005,tag_097
item_013_005,tag_074
item_013_006,tag_099
item_013_006,tag_096
item_014_001,tag_005
item_014_001,tag_062
item_014_001,tag_074
item_014_002,tag_036
item_014_002,tag_032
item_014_003,tag_018
item_014_003,tag_032
item_014_003,tag_096
item_014_003,tag_074
item_014_004,tag_095
item_014_005,tag_022
item_014_005,tag_093
item_014_006,tag_099
item_015_001,tag_032
item_015_001,tag_093
item_015_001,tag_074
item_015_002,tag_097
item_015_002,tag_062
item_015_002,tag_096
item_015_002,tag_074
item_015_003,tag_036
item_015_003,tag_093
item_015_003,tag_096
item_015_004,tag_086
item_015_004,tag_096
item_015_005,tag_058
item_015_006,tag_099
item_015_006,tag_096
item_016_001,tag_090
item_016_001,tag_005
item_016_001,tag_074
item_016_002,tag_049
item_016_003,tag_097
item_016_003,tag_096
item_016_003,tag_074
item_016_004,tag_095
item_016_005,tag_078
item_016_005,tag_074
item_016_006,tag_099
item_016_006,tag_096
item_017_001,tag_005
item_017_001,tag_060
item_017_001,tag_074
item_017_002,tag_009
item_017_002,tag_099
item_017_002,tag_074
item_017_003,tag_037
item_017_004,tag_061
item_017_005,tag_078
item_017_005,tag_096
item_017_006,tag_060
item_017_006,tag_005
item_017_006,tag_096
item_017_006,tag_074
item_018_001,tag_032
item_018_001,tag_092
item_018_001,tag_074
item_018_002,tag_100
item_018_002,tag_096
item_018_003,tag_032
item_018_003,tag_086
item_018_003,tag_096
item_018_004,tag_091
item_018_004,tag_096
item_018_005,tag_078
item_018_006,tag_099
item_018_006,tag_096
item_018_006,tag_074
item_019_001,tag_097
item_019_001,tag_093
item_019_001,tag_096
item_019_001,tag_074
item_019_002,tag_055
item_019_002,tag_062
item_019_003,tag_100
item_019_003,tag_097
item_019_004,tag_058
item_019_005,tag_055
item_019_005,tag_096
item_019_006,tag_099
item_020_001,tag_040
item_020_001,tag_005
item_020_001,tag_074
item_020_002,tag_062
item_020_002,tag_096
item_020_003,tag_057
item_020_004,tag_078
item_020_004,tag_040
item_020_005,tag_078
item_020_005,tag_074
item_020_006,tag_099
item_021_001,tag_053
item_021_001,tag_040
item_021_001,tag_096
item_021_001,tag_074
item_021_002,tag_017
item_021_002,tag_093
item_021_002,tag_096
item_021_003,tag_019
item_021_003,tag_040
item_021_003,tag_096
item_021_003,tag_074
item_021_004,tag_020
item_021_004,tag_097
item_021_005,tag_060
item_021_005,tag_080
item_021_006,tag_099
item_021_006,tag_096
item_021_006,tag_074
item_022_001,tag_017
item_022_001,tag_071
item_022_001,tag_074
item_022_002,tag_071
item_022_002,tag_032
item_022_003,tag_040
item_022_004,tag_009
item_022_004,tag_095
item_022_004,tag_096
item_022_005,tag_078
item_022_006,tag_099
item_023_001,tag_092
item_023_001,tag_062
item_023_001,tag_074
item_023_002,tag_005
item_023_002,tag_071
item_023_002,tag_096
item_023_002,tag_074
item_023_003,tag_097
item_023_004,tag_018
item_023_004,tag_071
item_023_004,tag_096
item_023_005,tag_078
item_023_005,tag_096
item_023_006,tag_099
item_024_001,tag_057
item_024_001,tag_005
item_024_001,tag_074
item_024_002,tag_040
item_024_002,tag_097
item_024_003,tag_032
item_024_003,tag_096
item_024_004,tag_078
item_024_005,tag_078
item_024_005,tag_039
item_024_006,tag_099
item_024_006,tag_096
item_025_001,tag_035
item_025_001,tag_093
item_025_001,tag_074
item_025_002,tag_062
item_025_002,tag_097
item_025_003,tag_018
item_025_003,tag_039
item_025_004,tag_068
item_025_005,tag_091
item_025_005,tag_018
item_025_005,tag_096
item_025_006,tag_099
item_026_001,tag_093
item_026_001,tag_062
item_026_001,tag_074
item_026_002,tag_068
item_026_003,tag_032
item_026_004,tag_097
item_026_004,tag_074
item_026_005,tag_022
item_026_005,tag_093
item_026_006,tag_058
item_026_006,tag_074
item_027_001,tag_017
item_027_001,tag_040
item_027_001,tag_074
item_027_002,tag_019
item_027_002,tag_040
item_027_003,tag_097
item_027_004,tag_020
item_027_004,tag_016
item_027_004,tag_096
item_027_005,tag_078
item_027_006,tag_099
item_027_006,tag_074
item_028_001,tag_092
item_028_001,tag_009
item_028_001,tag_074
item_028_002,tag_093
item_028_002,tag_032
item_028_003,tag_060
item_028_003,tag_003
item_028_004,tag_024
item_028_004,tag_005
item_028_004,tag_096
item_028_004,tag_074
item_028_005,tag_024
item_028_005,tag_037
item_028_006,tag_099
item_028_006,tag_074
item_029_001,tag_054
item_029_001,tag_093
item_029_001,tag_074
item_029_002,tag_040
item_029_002,tag_097
item_029_002,tag_096
item_029_003,tag_062
item_029_003,tag_096
item_029_004,tag_078
item_029_004,tag_096
item_029_005,tag_091
item_029_005,tag_096
item_029_006,tag_099
item_030_001,tag_017
item_030_001,tag_097
item_030_001,tag_074
item_030_002,tag_032
item_030_002,tag_009
item_030_002,tag_096
item_030_003,tag_062
item_030_004,tag_095
item_030_004,tag_090
item_030_004,tag_074
item_030_005,tag_039
item_030_005,tag_091
item_030_005,tag_074
item_030_006,tag_099
item_030_006,tag_096
item_030_006,tag_074
item_031_001,tag_055
item_031_001,tag_062
item_031_001,tag_074
item_031_002,tag_097
item_031_003,tag_100
item_031_003,tag_074
item_031_004,tag_018
item_031_004,tag_032
item_031_004,tag_096
item_031_005,tag_058
item_031_005,tag_096
item_031_006,tag_099
item_032_001,tag_057
item_032_001,tag_005
item_032_001,tag_074
item_032_002,tag_017
item_032_002,tag_094
item_032_003,tag_032
item_032_004,tag_095
item_032_005,tag_078
item_032_006,tag_099
item_033_001,tag_005
item_033_001,tag_093
item_033_001,tag_096
item_033_001,tag_074
item_033_002,tag_097
item_033_002,tag_040
item_033_002,tag_096
item_033_002,tag_074
item_033_003,tag_049
item_033_004,tag_040
item_033_004,tag_078
item_033_005,tag_039
item_033_005,tag_096
item_033_006,tag_099
item_033_006,tag_096
item_034_001,tag_093
item_034_001,tag_051
item_034_001,tag_074
item_034_002,tag_017
item_034_002,tag_062
item_034_002,tag_074
item_034_003,tag_018
item_034_003,tag_039
item_034_003,tag_096
item_034_004,tag_017
item_034_004,tag_058
item_034_004,tag_074
item_034_005,tag_078
item_034_005,tag_096
item_034_006,tag_099
item_034_006,tag_096
item_035_001,tag_097
item_035_001,tag_009
item_035_001,tag_074
item_035_002,tag_017
item_035_002,tag_016
item_035_002,tag_074
item_035_003,tag_018
item_035_003,tag_039
item_035_003,tag_096
item_035_004,tag_078
item_035_004,tag_096
item_035_005,tag_078
item_035_006,tag_099
item_036_001,tag_039
item_036_001,tag_068
item_036_001,tag_074
item_036_002,tag_039
item_036_002,tag_087
item_036_002,tag_096
item_036_003,tag_039
item_036_003,tag_093
item_036_003,tag_096
item_036_003,tag_074
item_036_004,tag_086
item_036_004,tag_096
item_036_005,tag_039
item_036_005,tag_096
item_036_006,tag_039
item_036_006,tag_061
item_037_001,tag_092
item_037_001,tag_062
item_037_001,tag_074
item_037_002,tag_009
item_037_002,tag_097
item_037_003,tag_078
item_037_004,tag_095
item_037_004,tag_096
item_037_004,tag_074
item_037_005,tag_058
item_037_005,tag_074
item_037_006,tag_099
item_037_006,tag_096
item_038_001,tag_039
item_038_001,tag_091
item_038_001,tag_074
item_038_002,tag_018
item_038_002,tag_039
item_038_002,tag_096
item_038_003,tag_039
item_038_003,tag_016
item_038_004,tag_095
item_038_004,tag_096
item_038_005,tag_078
item_038_005,tag_096
item_038_006,tag_099
item_039_001,tag_005
item_039_001,tag_057
item_039_001,tag_074
item_039_002,tag_097
item_039_003,tag_040
item_039_003,tag_096
item_039_004,tag_062
item_039_005,tag_078
item_039_006,tag_099
item_040_001,tag_040
item_040_001,tag_036
item_040_001,tag_074
item_040_002,tag_018
item_040_002,tag_036
item_040_002,tag_096
item_040_002,tag_074
item_040_003,tag_040
item_040_003,tag_095
item_040_004,tag_039
item_040_005,tag_078
item_040_005,tag_096
item_040_006,tag_099
item_041_001,tag_035
item_041_001,tag_009
item_041_001,tag_074
item_041_002,tag_032
item_041_003,tag_093
item_041_004,tag_058
item_041_004,tag_096
item_041_005,tag_060
item_041_005,tag_096
item_041_006,tag_024
item_042_001,tag_093
item_042_001,tag_097
item_042_001,tag_074
item_042_002,tag_005
item_042_002,tag_016
item_042_002,tag_074
item_042_003,tag_017
item_042_003,tag_094
item_042_004,tag_090
item_042_004,tag_022
item_042_005,tag_058
item_042_005,tag_074
item_042_006,tag_099
item_043_001,tag_060
item_043_001,tag_005
item_043_001,tag_074
item_043_002,tag_060
item_043_002,tag_009
item_043_002,tag_096
item_043_003,tag_092
item_043_004,tag_016
item_043_004,tag_060
item_043_005,tag_060
item_043_005,tag_096
item_043_006,tag_099
item_044_001,tag_040
item_044_001,tag_057
item_044_001,tag_074
item_044_002,tag_040
item_044_002,tag_062
item_044_003,tag_032
item_044_003,tag_096
item_044_004,tag_078
item_044_005,tag_039
item_044_005,tag_074
item_044_006,tag_099
