id,shop_id,day_of_week,open_time,close_time,is_closed
hour_007_1,shop_007,1,00:00,23:59,0
hour_007_2,shop_007,2,00:00,23:59,0
hour_007_3,shop_007,3,00:00,23:59,0
hour_007_4,shop_007,4,00:00,23:59,0
hour_007_5,shop_007,5,00:00,23:59,0
hour_007_6,shop_007,6,00:00,23:59,0
hour_007_7,shop_007,7,00:00,23:59,0
hour_008_1,shop_008,1,09:00,22:30,0
hour_008_2,shop_008,2,07:00,21:00,0
hour_008_3,shop_008,3,08:00,22:00,0
hour_008_4,shop_008,4,09:00,22:30,0
hour_008_5,shop_008,5,07:00,21:00,0
hour_008_6,shop_008,6,09:00,22:30,0
hour_008_7,shop_008,7,09:00,22:30,0
hour_009_1,shop_009,1,08:00,22:00,0
hour_009_2,shop_009,2,09:00,22:30,0
hour_009_3,shop_009,3,09:00,22:30,0
hour_009_4,shop_009,4,09:00,22:30,0
hour_009_5,shop_009,5,07:00,21:00,0
hour_009_6,shop_009,6,07:00,21:00,0
hour_009_7,shop_009,7,10:00,23:00,0
hour_010_1,shop_010,1,09:00,22:30,0
hour_010_2,shop_010,2,07:00,21:00,0
hour_010_3,shop_010,3,07:00,21:00,0
hour_010_4,shop_010,4,10:00,23:00,0
hour_010_5,shop_010,5,07:00,21:00,0
hour_010_6,shop_010,6,09:00,22:30,0
hour_010_7,shop_010,7,09:00,22:30,0
hour_011_1,shop_011,1,07:00,21:00,0
hour_011_2,shop_011,2,07:00,21:00,0
hour_011_3,shop_011,3,09:00,22:30,0
hour_011_4,shop_011,4,08:00,22:00,0
hour_011_5,shop_011,5,10:00,23:00,0
hour_011_6,shop_011,6,07:00,21:00,0
hour_011_7,shop_011,7,10:00,23:00,0
hour_012_1,shop_012,1,07:00,21:00,0
hour_012_2,shop_012,2,10:00,23:00,0
hour_012_3,shop_012,3,09:00,22:30,0
hour_012_4,shop_012,4,08:00,22:00,0
hour_012_5,shop_012,5,10:00,23:00,0
hour_012_6,shop_012,6,08:00,22:00,0
hour_012_7,shop_012,7,08:00,22:00,0
hour_013_1,shop_013,1,06:00,20:30,0
hour_013_2,shop_013,2,06:00,20:30,0
hour_013_3,shop_013,3,07:00,19:30,0
hour_013_4,shop_013,4,06:30,21:00,0
hour_013_5,shop_013,5,06:30,21:00,0
hour_013_6,shop_013,6,06:30,21:00,0
hour_013_7,shop_013,7,07:00,19:30,0
hour_014_1,shop_014,1,08:00,22:00,0
hour_014_2,shop_014,2,07:00,21:00,0
hour_014_3,shop_014,3,08:00,22:00,0
hour_014_4,shop_014,4,09:00,22:30,0
hour_014_5,shop_014,5,07:00,21:00,0
hour_014_6,shop_014,6,10:00,23:00,0
hour_014_7,shop_014,7,07:00,21:00,0
hour_015_1,shop_015,1,07:00,21:00,0
hour_015_2,shop_015,2,09:00,22:30,0
hour_015_3,shop_015,3,08:00,22:00,0
hour_015_4,shop_015,4,07:00,21:00,0
hour_015_5,shop_015,5,07:00,21:00,0
hour_015_6,shop_015,6,08:00,22:00,0
hour_015_7,shop_015,7,09:00,22:30,0
hour_016_1,shop_016,1,10:00,23:00,0
hour_016_2,shop_016,2,10:00,23:00,0
hour_016_3,shop_016,3,09:00,22:30,0
hour_016_4,shop_016,4,09:00,22:30,0
hour_016_5,shop_016,5,10:00,23:00,0
hour_016_6,shop_016,6,08:00,22:00,0
hour_016_7,shop_016,7,10:00,23:00,0
hour_017_1,shop_017,1,09:00,22:30,0
hour_017_2,shop_017,2,10:00,23:00,0
hour_017_3,shop_017,3,07:00,21:00,0
hour_017_4,shop_017,4,10:00,23:00,0
hour_017_5,shop_017,5,10:00,23:00,0
hour_017_6,shop_017,6,07:00,21:00,0
hour_017_7,shop_017,7,08:00,22:00,0
hour_018_1,shop_018,1,15:00,02:00,0
hour_018_2,shop_018,2,15:00,02:00,0
hour_018_3,shop_018,3,15:00,02:00,0
hour_018_4,shop_018,4,15:00,02:00,0
hour_018_5,shop_018,5,15:00,02:00,0
hour_018_6,shop_018,6,15:00,02:00,0
hour_018_7,shop_018,7,15:00,02:00,0
hour_019_1,shop_019,1,07:00,21:00,0
hour_019_2,shop_019,2,10:00,23:00,0
hour_019_3,shop_019,3,07:00,21:00,0
hour_019_4,shop_019,4,07:00,21:00,0
hour_019_5,shop_019,5,10:00,23:00,0
hour_019_6,shop_019,6,08:00,22:00,0
hour_019_7,shop_019,7,09:00,22:30,0
hour_020_1,shop_020,1,08:00,22:00,0
hour_020_2,shop_020,2,08:00,22:00,0
hour_020_3,shop_020,3,09:00,22:30,0
hour_020_4,shop_020,4,10:00,23:00,0
hour_020_5,shop_020,5,09:00,22:30,0
hour_020_6,shop_020,6,07:00,21:00,0
hour_020_7,shop_020,7,09:00,22:30,0
hour_021_1,shop_021,1,10:00,23:00,0
hour_021_2,shop_021,2,08:00,22:00,0
hour_021_3,shop_021,3,09:00,22:30,0
hour_021_4,shop_021,4,09:00,22:30,0
hour_021_5,shop_021,5,10:00,23:00,0
hour_021_6,shop_021,6,07:00,21:00,0
hour_021_7,shop_021,7,08:00,22:00,0
hour_022_1,shop_022,1,15:00,02:00,0
hour_022_2,shop_022,2,15:00,02:00,0
hour_022_3,shop_022,3,15:00,02:00,0
hour_022_4,shop_022,4,15:00,02:00,0
hour_022_5,shop_022,5,15:00,02:00,0
hour_022_6,shop_022,6,15:00,02:00,0
hour_022_7,shop_022,7,15:00,02:00,0
hour_023_1,shop_023,1,06:30,21:00,0
hour_023_2,shop_023,2,06:00,20:30,0
hour_023_3,shop_023,3,06:00,20:30,0
hour_023_4,shop_023,4,06:30,21:00,0
hour_023_5,shop_023,5,06:30,21:00,0
hour_023_6,shop_023,6,06:00,20:30,0
hour_023_7,shop_023,7,,,1
hour_024_1,shop_024,1,06:00,20:30,0
hour_024_2,shop_024,2,07:00,19:30,0
hour_024_3,shop_024,3,06:00,20:30,0
hour_024_4,shop_024,4,06:30,21:00,0
hour_024_5,shop_024,5,06:00,20:30,0
hour_024_6,shop_024,6,07:00,19:30,0
hour_024_7,shop_024,7,06:00,20:30,0
hour_025_1,shop_025,1,07:00,21:00,0
hour_025_2,shop_025,2,07:00,21:00,0
hour_025_3,shop_025,3,10:00,23:00,0
hour_025_4,shop_025,4,09:00,22:30,0
hour_025_5,shop_025,5,08:00,22:00,0
hour_025_6,shop_025,6,09:00,22:30,0
hour_025_7,shop_025,7,10:00,23:00,0
hour_026_1,shop_026,1,10:00,23:00,0
hour_026_2,shop_026,2,09:00,22:30,0
hour_026_3,shop_026,3,07:00,21:00,0
hour_026_4,shop_026,4,09:00,22:30,0
hour_026_5,shop_026,5,08:00,22:00,0
hour_026_6,shop_026,6,10:00,23:00,0
hour_026_7,shop_026,7,08:00,22:00,0
hour_027_1,shop_027,1,15:00,02:00,0
hour_027_2,shop_027,2,15:00,02:00,0
hour_027_3,shop_027,3,15:00,02:00,0
hour_027_4,shop_027,4,15:00,02:00,0
hour_027_5,shop_027,5,15:00,02:00,0
hour_027_6,shop_027,6,15:00,02:00,0
hour_027_7,shop_027,7,15:00,02:00,0
hour_028_1,shop_028,1,06:00,20:30,0
hour_028_2,shop_028,2,07:00,19:30,0
hour_028_3,shop_028,3,06:00,20:30,0
hour_028_4,shop_028,4,07:00,19:30,0
hour_028_5,shop_028,5,07:00,19:30,0
hour_028_6,shop_028,6,07:00,19:30,0
hour_028_7,shop_028,7,07:00,19:30,0
hour_029_1,shop_029,1,09:00,22:30,0
hour_029_2,shop_029,2,07:00,21:00,0
hour_029_3,shop_029,3,07:00,21:00,0
hour_029_4,shop_029,4,09:00,22:30,0
hour_029_5,shop_029,5,10:00,23:00,0
hour_029_6,shop_029,6,08:00,22:00,0
hour_029_7,shop_029,7,10:00,23:00,0
hour_030_1,shop_030,1,08:00,22:00,0
hour_030_2,shop_030,2,08:00,22:00,0
hour_030_3,shop_030,3,10:00,23:00,0
hour_030_4,shop_030,4,08:00,22:00,0
hour_030_5,shop_030,5,09:00,22:30,0
hour_030_6,shop_030,6,08:00,22:00,0
hour_030_7,shop_030,7,10:00,23:00,0
hour_031_1,shop_031,1,08:00,22:00,0
hour_031_2,shop_031,2,08:00,22:00,0
hour_031_3,shop_031,3,10:00,23:00,0
hour_031_4,shop_031,4,10:00,23:00,0
hour_031_5,shop_031,5,07:00,21:00,0
hour_031_6,shop_031,6,08:00,22:00,0
hour_031_7,shop_031,7,10:00,23:00,0
hour_032_1,shop_032,1,08:00,22:00,0
hour_032_2,shop_032,2,07:00,21:00,0
hour_032_3,shop_032,3,10:00,23:00,0
hour_032_4,shop_032,4,09:00,22:30,0
hour_032_5,shop_032,5,07:00,21:00,0
hour_032_6,shop_032,6,08:00,22:00,0
hour_032_7,shop_032,7,10:00,23:00,0
hour_033_1,shop_033,1,10:00,23:00,0
hour_033_2,shop_033,2,09:00,22:30,0
hour_033_3,shop_033,3,08:00,22:00,0
hour_033_4,shop_033,4,08:00,22:00,0
hour_033_5,shop_033,5,07:00,21:00,0
hour_033_6,shop_033,6,10:00,23:00,0
hour_033_7,shop_033,7,08:00,22:00,0
hour_034_1,shop_034,1,10:00,23:00,0
hour_034_2,shop_034,2,09:00,22:30,0
hour_034_3,shop_034,3,08:00,22:00,0
hour_034_4,shop_034,4,09:00,22:30,0
hour_034_5,shop_034,5,07:00,21:00,0
hour_034_6,shop_034,6,10:00,23:00,0
hour_034_7,shop_034,7,10:00,23:00,0
hour_035_1,shop_035,1,08:00,22:00,0
hour_035_2,shop_035,2,07:00,21:00,0
hour_035_3,shop_035,3,10:00,23:00,0
hour_035_4,shop_035,4,08:00,22:00,0
hour_035_5,shop_035,5,08:00,22:00,0
hour_035_6,shop_035,6,09:00,22:30,0
hour_035_7,shop_035,7,10:00,23:00,0
hour_036_1,shop_036,1,10:00,23:00,0
hour_036_2,shop_036,2,07:00,21:00,0
hour_036_3,shop_036,3,10:00,23:00,0
hour_036_4,shop_036,4,07:00,21:00,0
hour_036_5,shop_036,5,07:00,21:00,0
hour_036_6,shop_036,6,10:00,23:00,0
hour_036_7,shop_036,7,07:00,21:00,0
hour_037_1,shop_037,1,06:00,20:30,0
hour_037_2,shop_037,2,06:30,21:00,0
hour_037_3,shop_037,3,07:00,19:30,0
hour_037_4,shop_037,4,06:30,21:00,0
hour_037_5,shop_037,5,06:00,20:30,0
hour_037_6,shop_037,6,06:30,21:00,0
hour_037_7,shop_037,7,06:00,20:30,0
hour_038_1,shop_038,1,08:00,22:00,0
hour_038_2,shop_038,2,10:00,23:00,0
hour_038_3,shop_038,3,09:00,22:30,0
hour_038_4,shop_038,4,10:00,23:00,0
hour_038_5,shop_038,5,07:00,21:00,0
hour_038_6,shop_038,6,07:00,21:00,0
hour_038_7,shop_038,7,08:00,22:00,0
hour_039_1,shop_039,1,06:30,21:00,0
hour_039_2,shop_039,2,06:30,21:00,0
hour_039_3,shop_039,3,06:30,21:00,0
hour_039_4,shop_039,4,06:30,21:00,0
hour_039_5,shop_039,5,06:00,20:30,0
hour_039_6,shop_039,6,07:00,19:30,0
hour_039_7,shop_039,7,06:30,21:00,0
hour_040_1,shop_040,1,09:00,22:30,0
hour_040_2,shop_040,2,10:00,23:00,0
hour_040_3,shop_040,3,07:00,21:00,0
hour_040_4,shop_040,4,09:00,22:30,0
hour_040_5,shop_040,5,09:00,22:30,0
hour_040_6,shop_040,6,09:00,22:30,0
hour_040_7,shop_040,7,09:00,22:30,0
hour_041_1,shop_041,1,07:00,21:00,0
hour_041_2,shop_041,2,10:00,23:00,0
hour_041_3,shop_041,3,09:00,22:30,0
hour_041_4,shop_041,4,10:00,23:00,0
hour_041_5,shop_041,5,08:00,22:00,0
hour_041_6,shop_041,6,09:00,22:30,0
hour_041_7,shop_041,7,10:00,23:00,0
hour_042_1,shop_042,1,09:00,22:30,0
hour_042_2,shop_042,2,10:00,23:00,0
hour_042_3,shop_042,3,09:00,22:30,0
hour_042_4,shop_042,4,07:00,21:00,0
hour_042_5,shop_042,5,07:00,21:00,0
hour_042_6,shop_042,6,10:00,23:00,0
hour_042_7,shop_042,7,10:00,23:00,0
hour_043_1,shop_043,1,06:30,21:00,0
hour_043_2,shop_043,2,06:30,21:00,0
hour_043_3,shop_043,3,06:00,20:30,0
hour_043_4,shop_043,4,07:00,19:30,0
hour_043_5,shop_043,5,06:00,20:30,0
hour_043_6,shop_043,6,06:30,21:00,0
hour_043_7,shop_043,7,06:30,21:00,0
hour_044_1,shop_044,1,08:00,22:00,0
hour_044_2,shop_044,2,07:00,21:00,0
hour_044_3,shop_044,3,10:00,23:00,0
hour_044_4,shop_044,4,09:00,22:30,0
hour_044_5,shop_044,5,07:00,21:00,0
hour_044_6,shop_044,6,07:00,21:00,0
hour_044_7,shop_044,7,07:00,21:00,0
