id,shop_id,name,display_order,is_active
cat_024_02,shop_024,Món thêm,2,1
cat_024_03,shop_024,Đồ uống,3,1
cat_025_01,shop_025,Wrap,1,1
cat_025_02,shop_025,Món chính,2,1
cat_025_03,shop_025,Ăn vặt,3,1
cat_025_04,shop_025,Đồ uống,4,1
cat_026_01,shop_026,Cơm,1,1
cat_026_02,shop_026,Combo,2,1
cat_026_03,shop_026,Canh,3,1
cat_027_01,shop_027,Ốc,1,1
cat_027_02,shop_027,Hải sản,2,1
cat_027_03,shop_027,Món thêm,3,1
cat_027_04,shop_027,Đồ uống,4,1
cat_028_01,shop_028,Brunch,1,1
cat_028_02,shop_028,Sandwich,2,1
cat_028_03,shop_028,Tráng miệng,3,1
cat_028_04,shop_028,Cà phê,4,1
cat_029_01,shop_029,Mì,1,1
cat_029_02,shop_029,Món thêm,2,1
cat_029_03,shop_029,Cuốn,3,1
cat_029_04,shop_029,Đồ uống,4,1
cat_030_01,shop_030,Taco,1,1
cat_030_02,shop_030,Burrito,2,1
cat_030_03,shop_030,Ăn vặt,3,1
cat_030_04,shop_030,Đồ uống,4,1
cat_031_01,shop_031,Cơm,1,1
cat_031_02,shop_031,Món chính,2,1
cat_031_03,shop_031,Canh,3,1
cat_031_04,shop_031,Đồ uống,4,1
cat_032_01,shop_032,Ramen,1,1
cat_032_02,shop_032,Ăn vặt,2,1
cat_032_03,shop_032,Món thêm,3,1
cat_032_04,shop_032,Đồ uống,4,1
cat_033_01,shop_033,Bún,1,1
cat_033_02,shop_033,Món thêm,2,1
cat_033_03,shop_033,Đồ uống,3,1
cat_034_01,shop_034,Cơm,1,1
cat_034_02,shop_034,Canh,2,1
cat_034_03,shop_034,Món thêm,3,1
cat_034_04,shop_034,Đồ uống,4,1
cat_035_01,shop_035,Curry,1,1
cat_035_02,shop_035,Món thêm,2,1
cat_035_03,shop_035,Đồ uống,3,1
cat_036_01,shop_036,Salad,1,1
cat_036_02,shop_036,Wrap,2,1
cat_036_03,shop_036,Súp,3,1
cat_036_04,shop_036,Đồ uống,4,1
cat_036_05,shop_036,Tráng miệng,5,1
cat_037_01,shop_037,Bò né,1,1
cat_037_02,shop_037,Món thêm,2,1
cat_037_03,shop_037,Salad,3,1
cat_037_04,shop_037,Đồ uống,4,1
cat_038_01,shop_038,Cuốn,1,1
cat_038_02,shop_038,Món thêm,2,1
cat_038_03,shop_038,Đồ uống,3,1
cat_039_01,shop_039,Hủ tiếu,1,1
cat_039_02,shop_039,Súp,2,1
cat_039_03,shop_039,Món thêm,3,1
cat_039_04,shop_039,Đồ uống,4,1
cat_040_01,shop_040,Bánh xèo,1,1
cat_040_02,shop_040,Bánh khọt,2,1
cat_040_03,shop_040,Món thêm,3,1
cat_040_04,shop_040,Đồ uống,4,1
cat_041_01,shop_041,Sandwich,1,1
cat_041_02,shop_041,Súp,2,1
cat_041_03,shop_041,Tráng miệng,3,1
cat_041_04,shop_041,Cà phê,4,1
cat_042_01,shop_042,Cơm,1,1
cat_042_02,shop_042,Món chính,2,1
cat_042_03,shop_042,Combo,3,1
cat_042_04,shop_042,Salad,4,1
cat_042_05,shop_042,Đồ uống,5,1
cat_043_01,shop_043,Tráng miệng,1,1
cat_043_02,shop_043,Bánh ngọt,2,1
cat_043_03,shop_043,Đồ uống,3,1
cat_044_01,shop_044,Bún,1,1
cat_044_02,shop_044,Món thêm,2,1
cat_044_03,shop_044,Đồ uống,3,1
